epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.274,2.92861,3.87099,3.90354,0.00501,0.55833,0.01167,0.00405,2.50273,3.93269,3.09028,0.00047157,0.00047157,0.00047157
2,1758.57,2.43721,2.74207,2.88098,0.02008,0.21167,0.01293,0.00334,2.57908,10.3807,3.33596,0.000929135,0.000929135,0.000929135
3,2839.16,2.00117,1.99133,2.36075,0.70249,0.67697,0.8017,0.4071,1.67257,1.72581,2.14441,0.00136784,0.00136784,0.00136784
4,3808.89,1.81458,1.66457,2.13857,0.84905,0.82078,0.88737,0.5121,1.49459,1.2327,1.94315,0.00134412,0.00134412,0.00134412
5,4449.88,1.65556,1.41084,1.98607,0.7165,0.73498,0.84735,0.42853,1.57878,1.47341,1.97722,0.00131582,0.00131582,0.00131582
6,4838.11,1.55042,1.25658,1.88771,0.8766,0.85118,0.92217,0.48139,1.51303,1.16366,1.9323,0.00128753,0.00128753,0.00128753
7,5225.31,1.47825,1.14773,1.8135,0.86431,0.86167,0.90865,0.51474,1.48694,1.11285,1.92931,0.00125923,0.00125923,0.00125923
8,5728.5,1.43908,1.06723,1.7633,0.88313,0.90196,0.94005,0.59713,1.30046,0.86028,1.73473,0.00123094,0.00123094,0.00123094
9,6287.32,1.38002,0.99075,1.71012,0.947,0.89106,0.96011,0.63639,1.23171,0.77781,1.67889,0.00120265,0.00120265,0.00120265
10,6767.07,1.33043,0.93712,1.66839,0.9412,0.93559,0.96548,0.64966,1.16913,0.74057,1.63211,0.00117435,0.00117435,0.00117435
11,7151.83,1.30803,0.89757,1.64307,0.96055,0.94115,0.97478,0.69047,1.07119,0.66135,1.54367,0.00114606,0.00114606,0.00114606
12,7654.61,1.27577,0.87263,1.60644,0.95251,0.95363,0.97452,0.68797,1.08304,0.65009,1.56964,0.00111776,0.00111776,0.00111776
13,8061.68,1.24702,0.83428,1.57768,0.96958,0.95667,0.98425,0.69019,1.12156,0.61874,1.58854,0.00108947,0.00108947,0.00108947
